信息资源目录名称（必填项）,信息项名称,信息资源目录提供方
准予注销登记通知书,统一社会信用代码,行政审批局
准予注销登记通知书,主要负责人,文化和旅游局
准予注销登记通知书,编号,文化和旅游局
准予注销登记通知书,单位名称,文化和旅游局
准予注销登记通知书,法律依据,文化和旅游局
准予行政许可注销决定书,单位名称,行政审批局
准予行政许可注销决定书,法定代表人或负责人,行政审批局
准予行政许可注销决定书,经营地址,行政审批局
准予行政许可注销决定书,经营项目,行政审批局
准予行政许可注销决定书,有效期限,行政审批局
准予行政许可决定书,批文,市政和绿化管理局
准予行政备案决定书,姓名,工业和信息化局
准予行政备案决定书,事项内容,工业和信息化局
准予行政备案决定书,单位名称,工业和信息化局
准予行政备案决定书,文号,工业和信息化局
准予行政备案决定书,日期,工业和信息化局
准予社会团体注销登记决定书,统一社会信用代码,民政局
准予社会团体注销登记决定书,发证机关,民政局
准予社会团体注销登记决定书,发证日期,民政局
准予社会团体注销登记决定书,有效期限,民政局
准予社会团体注销登记决定书,名称,民政局
准予社会团体注销登记决定书,住所,民政局
准予社会团体注销登记决定书,法定代表人,民政局
准予社会团体注销登记决定书,开办资金,民政局
准予社会团体注销登记决定书,业务主管单位,民政局
准予民办非企业单位注销登记决定书,统一社会信用代码,民政局
准予民办非企业单位注销登记决定书,发证机关,民政局
准予民办非企业单位注销登记决定书,发证日期,民政局
准予民办非企业单位注销登记决定书,有效期限,民政局
准予民办非企业单位注销登记决定书,名称,民政局
准予民办非企业单位注销登记决定书,住所,民政局
准予民办非企业单位注销登记决定书,法定代表人,民政局
准予民办非企业单位注销登记决定书,开办资金,民政局
准予民办非企业单位注销登记决定书,业务主管单位,民政局
准予基金会注销登记决定书,统一社会信用代码,民政局
准予基金会注销登记决定书,发证机关,民政局
准予基金会注销登记决定书,发证日期,民政局
准予基金会注销登记决定书,有效日期,民政局
准予基金会注销登记决定书,名称,民政局
准予基金会注销登记决定书,住所,民政局
准予基金会注销登记决定书,法定代表人,民政局
准予基金会注销登记决定书,开办资金,民政局
准予基金会注销登记决定书,业务主管单位,民政局
准予基金会注销登记决定书,业务范围,民政局
准予登记通知书,统一社会信用代码,行政审批局
准予登记通知书,名称,行政审批局
转递违法犯罪行为管辖地公安机关,举报对象,公安局
转递违法犯罪行为管辖地公安机关,具体行为,公安局
转递违法犯罪行为管辖地公安机关,产生后果,公安局
转递违法犯罪行为管辖地公安机关,回复结果（转递公安机关）,公安局
贮存危险废物超过一年的批准,危废量,生态环境局
贮存危险废物超过一年的批准,存放地址,生态环境局
贮存危险废物超过一年的批准,企业名称,生态环境局
注销外国人停留居留证件,个人信息,公安局
注销外国人停留居留证件,签发日期,公安局
注销外国人停留居留证件,有效期,公安局
注销决定书,医疗机构执业许可证注销,卫生健康委员会
注销决定或公告,企业名称,农业农村和水利局
注销决定或公告,统一社会信用代码,农业农村和水利局
注销决定或公告,法定代表人,农业农村和水利局
注销决定或公告,经办人,农业农村和水利局
注销决定或公告,联系电话,农业农村和水利局
注销决定或公告,地址,农业农村和水利局
注销决定或公告,邮政编码,农业农村和水利局
注销决定或公告,许可证编号,农业农村和水利局
注销决定或公告,注销事项,农业农村和水利局
注销决定或公告,注销原因,农业农村和水利局
注销决定或公告,申报材料,农业农村和水利局
注销决定或公告,申请人签名或盖章,农业农村和水利局
注销决定或公告,填表日期,农业农村和水利局
注销决定或公告,企业名称,农业农村和水利局
注销决定或公告,统一社会信用代码,农业农村和水利局
注销决定或公告,法定代表人,农业农村和水利局
注销决定或公告,经办人,农业农村和水利局
注销决定或公告,联系电话,农业农村和水利局
注销决定或公告,地址,农业农村和水利局
注销决定或公告,邮政编码,农业农村和水利局
注销决定或公告,许可证编号,农业农村和水利局
注销决定或公告,注销事项,农业农村和水利局
注销决定或公告,注销原因,农业农村和水利局
注销决定或公告,申报材料,农业农村和水利局
注销决定或公告,申请人签名或盖章,农业农村和水利局
注销决定或公告,填表日期,农业农村和水利局
注销登记申请书,单位名称,机构编制委员会办公室
注销登记申请书,法定代表人,机构编制委员会办公室
注销登记申请书,申请日期,机构编制委员会办公室
注销登记申请书,事业单位法人证书编号,机构编制委员会办公室
注销登记申请书,注销理由,机构编制委员会办公室
注销登记申请书,举办单位意见,机构编制委员会办公室
注销登记申请书,审批机关意见,机构编制委员会办公室
注销,名称,行政审批局
注销,经营地址,行政审批局
注销,法定代表人,行政审批局
注销,注册资本,行政审批局
注销,企业类型,行政审批局
注销,经营范围,行政审批局
注销,有效期,行政审批局
住宅专项维修资金使用申请表,物业区域名称,住房和城乡建设局
住宅专项维修资金使用申请表,物业服务单位（使用申请）单位名称,住房和城乡建设局
住宅专项维修资金使用申请表,维修资金使用内容,住房和城乡建设局
住宅专项维修资金使用申请表,物业区域名称,住房和城乡建设局
住宅专项维修资金使用申请表,物业服务单位（使用申请）单位名称,住房和城乡建设局
住宅专项维修资金使用申请表,维修资金使用内容,住房和城乡建设局
重度残疾人护理补贴政策解答,咨询,民政局
重大危险源备案登记表,申请单位名称,应急管理局
重大危险源备案登记表,申请单位地址,应急管理局
重大危险源备案登记表,申请单位法定代表人,应急管理局
重大危险源备案登记表,申请单位法定代表人联系电话,应急管理局
重大危险源备案登记表,申请单位委托代理人,应急管理局
重大危险源备案登记表,申请单位委托代理人联系电话,应急管理局
重大危险源备案登记表,申请事项基本情况,应急管理局
重大危险源备案登记表,报送材料序号,应急管理局
重大危险源备案登记表,报送材料名称,应急管理局
重大危险源备案登记表,报送材料份数,应急管理局
重大危险源备案登记表,报送材料原/复印件,应急管理局
重大危险源备案登记表,报送材料备注,应急管理局
重大危险源备案登记表,申请理由,应急管理局
重大危险源备案登记表,申请人,应急管理局
重大危险源备案登记表,申请时间,应急管理局
中医诊所备案证,机构名称,卫生健康委员会
中医诊所备案证,地址,卫生健康委员会
中医诊所备案证,法人,卫生健康委员会
中医诊所备案证,主要负责人,卫生健康委员会
中医诊所备案证,备案编号,卫生健康委员会
中医诊所备案证,备案机关,卫生健康委员会
中医诊所备案证,备案日期,卫生健康委员会
中华人民共和国医师执业证书,医师执业注册（首次注册、重新注册）,卫生健康委员会
中华人民共和国医师执业证书,姓名,卫生健康委员会
中华人民共和国医师执业证书,身份证号码,卫生健康委员会
中华人民共和国医师执业证书,发证机关,卫生健康委员会
中华人民共和国医师执业证书,发证日期,卫生健康委员会
中华人民共和国医师执业证书,姓名,卫生健康委员会
中华人民共和国医师执业证书,身份证号码,卫生健康委员会
中华人民共和国医师执业证书,发证机关,卫生健康委员会
中华人民共和国医师执业证书,发证日期,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构注册登记,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构变更登记,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构执业许可证补发,卫生健康委员会
中华人民共和国医疗机构执业许可证,名称,卫生健康委员会
中华人民共和国医疗机构执业许可证,地址,卫生健康委员会
中华人民共和国医疗机构执业许可证,邮编,卫生健康委员会
中华人民共和国医疗机构执业许可证,所有制形式,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构类别,卫生健康委员会
中华人民共和国医疗机构执业许可证,登记号,卫生健康委员会
中华人民共和国医疗机构执业许可证,发证机关,卫生健康委员会
中华人民共和国医疗机构执业许可证,机构名称,卫生健康委员会
